Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,0,18,0,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate
1,1,3,15,1,1,1,1,28,5,8,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate
1,8,1,10,1,1,1,13,27,10,8,1,0,0,1,0,1,20,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
1,1,1,16,1,1,1,13,28,10,4,1,0,0,1,0,1,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,Enrolled
1,8,3,10,1,1,1,1,29,6,4,1,0,0,1,0,0,18,0,0,6,7,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
1,8,2,5,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate
1,1,3,10,1,1,1,1,10,10,11,1,0,0,1,0,1,19,0,0,6,7,6,11.333333333333334,0,0,6,6,6,11.5,0,12.4,0.5,1.79,Graduate
1,8,1,16,1,1,1,23,28,8,7,1,0,0,1,0,0,18,0,0,6,11,3,12.333333333333334,0,0,6,10,5,10.833333333333334,0,9.4,-0.8,-3.12,Enrolled
1,1,1,16,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,0,6,7,6,13.333333333333334,0,0,6,8,5,11.8,0,7.6,2.6,0.32,Graduate
1,1,1,16,1,1,1,23,27,7,7,0,0,0,1,0,0,19,0,0,6,8,6,12.0,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Dropout
1,8,2,10,1,1,1,1,27,8,10,1,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.857142857142858,0,12.7,3.7,-1.7,Graduate
1,1,3,10,1,1,1,13,1,10,11,1,0,0,1,0,0,20,0,0,6,10,4,11.0,0,0,6,9,6,11.833333333333334,0,9.4,-0.8,-3.12,Graduate
1,1,1,14,1,1,1,13,1,5,2,0,0,0,1,0,0,19,0,0,6,6,6,13.166666666666666,0,0,6,9,6,13.0,0,10.8,1.4,1.74,Dropout
1,8,1,15,1,1,1,13,27,8,8,0,0,0,1,0,1,19,0,0,6,6,6,12.5,0,0,6,7,6,13.0,0,15.5,2.8,-4.06,Graduate
1,8,3,10,1,1,1,13,14,8,9,0,0,0,1,0,0,19,0,0,6,10,5,11.666666666666666,0,0,6,12,4,11.0,0,13.9,-0.3,0.79,Graduate
1,1,1,11,1,1,1,13,28,10,9,0,0,0,1,0,1,21,0,0,6,7,6,12.0,0,0,6,6,6,12.5,0,13.9,-0.3,0.79,Graduate
1,8,2,10,1,1,1,13,27,10,9,0,0,0,1,0,1,18,0,0,6,11,5,11.142857142857142,0,0,6,11,4,11.25,0,16.2,0.3,-0.92,Graduate
1,1,1,10,1,1,1,19,24,1,1,1,0,0,1,0,0,18,0,0,6,9,4,11.0,0,0,6,9,4,10.75,0,7.6,2.6,0.32,Graduate
1,1,1,6,1,1,1,13,1,9,8,1,0,0,1,0,0,19,0,0,6,8,6,13.857142857142858,0,0,6,9,5,13.4,0,13.9,-0.3,0.79,Graduate
1,14,1,8,1,1,1,1,3,10,3,1,0,0,1,0,1,20,0,0,6,8,6,15.625,0,0,6,8,6,15.857142857142858,0,13.9,-0.3,0.79,Graduate
1,14,1,15,1,1,1,1,1,5,6,0,0,0,1,0,0,21,0,0,6,8,6,11.714285714285714,0,0,6,7,6,12.0,0,7.6,2.6,0.32,Graduate
1,1,1,10,1,1,1,1,1,10,10,0,0,0,1,0,1,20,0,0,6,6,6,12.0,0,0,6,7,6,12.857142857142858,0,11.1,0.6,2.02,Graduate
1,1,1,11,1,1,1,1,27,10,10,0,0,0,1,0,1,21,0,0,6,9,5,11.0,0,0,6,8,5,12.0,0,15.5,2.8,-4.06,Graduate
1,1,1,10,1,1,1,23,27,10,10,0,0,0,1,0,1,22,0,0,6,6,5,12.6,0,0,6,6,6,13.0,0,10.8,1.4,1.74,Graduate
1,1,1,16,1,1,1,13,14,6,8,0,0,0,1,0,1,18,0,0,6,8,5,13.4,0,0,6,7,6,13.166666666666666,0,9.4,-0.8,-3.12,Graduate
1,1,3,11,1,1,1,13,27,5,8,1,0,0,1,0,0,21,0,0,6,8,6,11.333333333333334,0,0,6,8,4,12.25,0,11.1,0.6,2.02,Graduate
1,1,1,14,1,1,1,13,1,10,9,1,0,0,1,0,1,18,0,0,6,10,6,13.25,0,0,6,13,5,14.142857142857142,0,11.1,0.6,2.02,Graduate
1,1,3,5,1,1,1,13,28,10,10,1,0,0,1,0,0,19,0,0,6,7,5,12.4,0,0,6,6,5,12.4,0,9.4,-0.8,-3.12,Enrolled
1,1,3,15,1,1,1,23,27,8,8,1,0,0,1,0,1,18,0,0,6,6,6,15.0,0,0,6,6,6,12.833333333333334,0,8.9,1.4,3.51,Dropout
1,8,3,5,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,0,6,6,6,11.833333333333334,0,0,6,6,6,12.5,0,7.6,2.6,0.32,Enrolled
1,1,1,10,1,1,1,1,1,10,9,1,0,0,1,0,1,19,0,0,6,8,5,11.666666666666666,0,0,6,9,5,12.666666666666666,0,12.4,0.5,1.79,Graduate
1,1,1,11,1,1,1,22,28,10,8,0,0,0,1,0,1,20,0,0,6,8,6,11.166666666666666,0,0,6,10,5,10.6,0,15.5,2.8,-4.06,Graduate
1,1,1,10,1,1,1,1,1,5,5,0,0,0,1,0,0,18,0,0,6,7,6,14.0,0,0,6,7,6,14.0,0,10.8,1.4,1.74,Graduate
1,1,1,10,1,1,1,23,14,10,6,0,0,0,1,0,0,18,0,0,6,6,6,12.833333333333334,0,0,6,6,6,12.0,0,12.4,0.5,1.79,Graduate
1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,0,1,19,0,0,6,7,5,11.4,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Graduate
1,1,1,5,1,1,1,22,27,10,10,1,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,8,6,12.5,0,10.8,1.4,1.74,Graduate
1,1,1,10,1,1,1,1,28,5,6,0,0,0,1,0,0,20,0,0,6,8,6,14.5,0,0,6,7,6,15.428571428571429,0,16.2,0.3,-0.92,Graduate
1,1,1,5,1,1,1,13,27,8,6,0,0,0,1,0,1,21,0,0,6,7,5,13.8,0,0,6,6,6,12.833333333333334,0,16.2,0.3,-0.92,Graduate
1,8,1,5,1,1,1,4,27,3,10,0,0,0,1,0,0,18,0,0,6,8,6,12.5,0,0,6,6,6,12.333333333333334,0,15.5,2.8,-4.06,Enrolled
1,8,2,15,1,1,1,13,28,10,9,1,0,0,1,0,1,18,0,0,6,6,6,14.166666666666666,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
1,1,1,10,1,1,1,1,1,4,4,1,0,0,1,0,0,18,0,0,6,10,6,11.571428571428571,0,0,6,8,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
1,1,1,14,1,1,1,1,14,5,11,1,0,0,1,0,0,19,0,0,6,8,4,11.0,0,0,6,9,4,11.0,0,10.8,1.4,1.74,Enrolled
1,1,1,10,1,1,1,13,28,6,10,0,0,0,1,0,1,18,0,0,6,8,6,11.285714285714286,0,0,6,10,6,11.857142857142858,0,12.4,0.5,1.79,Graduate
1,1,1,16,1,1,1,2,14,5,5,1,0,0,1,0,0,18,0,0,6,9,5,12.6,0,0,6,8,5,11.4,0,9.4,-0.8,-3.12,Enrolled
1,1,1,10,1,1,1,23,28,8,8,1,0,0,1,0,0,20,0,0,6,7,6,12.0,0,0,6,7,6,13.0,0,12.4,0.5,1.79,Graduate
1,1,1,10,1,1,1,19,27,5,10,1,0,0,1,0,1,18,0,0,6,6,6,12.166666666666666,0,0,6,9,6,13.666666666666666,0,9.4,-0.8,-3.12,Graduate
1,8,1,10,1,1,1,3,1,10,11,0,0,0,1,0,0,19,0,0,6,9,5,12.166666666666666,0,0,6,8,6,12.428571428571429,0,13.9,-0.3,0.79,Graduate
1,1,1,15,1,1,1,13,14,8,6,1,0,0,1,0,0,18,0,0,6,7,6,13.5,0,0,6,8,6,12.5,0,9.4,-0.8,-3.12,Graduate
1,14,1,15,1,1,1,13,14,10,9,0,0,0,1,0,1,20,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,12.4,0.5,1.79,Graduate
1,1,1,6,1,1,1,22,28,8,6,1,0,0,1,0,1,21,0,0,6,13,6,16.153846153846153,0,0,6,10,6,15.75,0,15.5,2.8,-4.06,Graduate
1,8,1,15,1,1,1,1,14,5,8,0,0,0,1,0,1,19,0,0,6,6,6,13.833333333333334,0,0,6,7,6,14.428571428571429,0,15.5,2.8,-4.06,Graduate
1,1,1,16,1,1,1,13,14,6,6,0,0,0,1,0,1,19,0,0,6,7,6,13.428571428571429,0,0,6,6,6,13.166666666666666,0,15.5,2.8,-4.06,Graduate
1,1,1,10,1,1,1,19,24,1,1,0,0,0,1,0,0,19,0,0,6,8,6,11.5,0,0,6,7,6,11.166666666666666,0,7.6,2.6,0.32,Graduate
1,1,1,16,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,9,6,12.333333333333334,0,7.6,2.6,0.32,Graduate
1,8,1,16,1,1,1,1,14,5,6,1,0,0,1,0,0,22,0,0,6,10,5,13.166666666666666,0,0,6,8,5,12.4,0,15.5,2.8,-4.06,Enrolled
1,8,2,6,1,1,1,1,14,5,4,0,0,0,1,0,0,18,0,0,6,7,6,14.857142857142858,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Graduate
1,1,1,11,1,1,1,13,28,10,10,0,0,0,1,0,0,19,0,0,6,6,6,12.0,0,0,6,7,4,12.75,0,12.4,0.5,1.79,Enrolled
1,8,1,10,1,1,1,1,14,5,5,0,0,0,1,0,0,19,0,0,6,6,6,14.666666666666666,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate
1,1,1,10,1,1,1,1,28,10,8,1,0,0,1,0,1,20,0,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,Graduate
1,1,1,6,1,1,1,1,1,10,10,1,0,0,1,0,0,19,0,0,6,13,6,15.23076923076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,Graduate
1,8,1,14,1,1,1,13,28,5,11,0,0,0,1,0,0,19,0,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Graduate
1,1,1,15,1,1,1,1,14,5,9,1,0,0,1,0,0,19,0,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate
1,8,1,11,1,1,1,13,14,6,6,0,0,0,1,0,1,20,0,0,6,10,4,11.25,0,0,6,6,6,10.5,0,12.4,0.5,1.79,Enrolled
1,1,1,14,1,1,1,13,27,5,6,0,0,0,1,0,1,18,0,0,6,6,6,14.5,0,0,6,8,6,13.666666666666666,0,12.7,3.7,-1.7,Graduate
1,1,1,10,1,1,1,22,14,10,4,1,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
1,1,2,15,1,1,1,1,14,10,8,1,0,0,1,0,0,20,0,0,6,6,6,13.333333333333334,0,0,6,10,5,12.8,0,11.1,0.6,2.02,Graduate
1,1,3,11,1,1,1,13,28,4,11,1,0,0,1,0,1,20,0,0,6,8,5,12.8,0,0,6,9,5,12.8,0,12.4,0.5,1.79,Enrolled
1,14,1,16,1,1,1,22,14,10,9,0,0,0,1,0,0,22,0,0,6,9,5,13.6,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,Dropout
1,8,1,15,1,1,1,22,27,6,8,0,0,0,1,0,1,18,0,0,6,7,6,12.5,0,0,6,8,6,13.333333333333334,0,16.2,0.3,-0.92,Graduate
1,8,1,10,1,1,1,3,1,3,4,0,0,0,1,0,0,19,0,0,6,8,5,10.6,0,0,6,11,4,10.5,0,15.5,2.8,-4.06,Graduate
1,8,1,10,1,1,1,1,1,5,10,0,0,0,1,0,0,20,0,0,6,11,5,10.6,0,0,6,11,4,10.4,0,15.5,2.8,-4.06,Enrolled
1,1,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,20,0,0,6,6,6,12.333333333333334,0,0,6,7,6,11.833333333333334,0,13.9,-0.3,0.79,Graduate
1,1,1,14,1,1,1,23,14,8,11,0,0,0,1,0,0,23,0,0,6,11,6,11.875,0,0,6,9,5,12.833333333333334,0,11.1,0.6,2.02,Dropout
1,8,1,16,1,1,1,1,27,8,10,0,0,0,1,0,1,18,0,0,6,7,6,12.666666666666666,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Graduate
1,1,1,14,1,1,1,22,27,6,6,0,0,0,1,0,0,19,0,0,6,7,6,14.857142857142858,0,0,6,6,6,13.333333333333334,0,12.4,0.5,1.79,Graduate
1,8,1,11,1,1,1,1,14,5,4,1,0,0,1,0,0,18,0,0,6,10,5,11.8,0,0,6,10,5,12.2,0,11.1,0.6,2.02,Graduate
1,8,1,5,1,1,1,13,28,10,8,0,0,0,1,0,0,18,0,0,6,7,5,11.8,0,0,6,6,6,12.666666666666666,0,16.2,0.3,-0.92,Graduate
1,8,2,11,1,1,1,23,28,10,10,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,7,5,14.6,0,11.1,0.6,2.02,Graduate
1,1,2,15,1,1,1,13,1,10,4,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,6,6,13.666666666666666,0,12.7,3.7,-1.7,Graduate
1,8,2,16,1,1,1,22,27,10,10,1,0,0,1,0,0,23,0,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,Dropout
1,8,1,11,1,1,1,3,14,5,5,0,0,0,1,1,0,21,0,0,6,7,5,11.0,0,0,6,7,5,12.4,0,15.5,2.8,-4.06,Graduate
1,9,3,15,1,1,1,13,1,10,10,1,0,0,1,1,0,19,0,0,6,9,4,12.5,0,0,6,6,6,11.333333333333334,0,10.8,1.4,1.74,Dropout
1,1,1,8,1,1,1,13,28,10,10,1,0,0,1,1,0,18,0,0,6,6,6,13.5,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Graduate
1,8,1,14,1,1,1,1,14,9,8,1,0,0,1,0,0,19,0,0,6,6,6,14.833333333333334,0,0,6,8,6,13.285714285714286,0,8.9,1.4,3.51,Enrolled
1,8,1,11,1,1,1,22,27,8,8,0,0,0,1,0,0,19,0,0,6,8,5,11.8,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Graduate
1,8,1,15,1,1,1,23,28,10,9,1,0,0,1,0,1,18,0,0,6,6,6,12.833333333333334,0,0,6,7,6,12.285714285714286,0,15.5,2.8,-4.06,Graduate
1,1,2,14,1,1,1,13,1,10,4,1,0,0,1,0,0,18,0,0,6,6,6,13.833333333333334,0,0,6,11,6,14.555555555555555,0,10.8,1.4,1.74,Graduate
1,8,1,14,1,1,1,1,14,5,9,1,0,0,1,0,0,20,0,0,6,8,5,13.4,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
1,1,1,5,1,1,1,1,1,2,2,1,0,0,1,0,0,20,0,0,6,6,6,12.833333333333334,0,0,6,10,6,11.166666666666666,0,12.4,0.5,1.79,Graduate
1,1,1,15,1,1,1,3,14,5,6,1,0,0,1,0,0,20,0,0,6,6,6,13.833333333333334,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
1,1,1,16,1,1,1,13,14,10,9,1,0,0,1,0,0,21,0,0,6,8,5,12.0,0,0,6,9,5,10.8,0,12.7,3.7,-1.7,Dropout
1,8,2,15,1,1,1,1,28,6,7,1,0,0,1,0,0,18,0,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
1,1,2,16,1,1,1,1,28,5,10,1,0,0,1,0,0,19,0,0,6,9,5,12.2,0,0,6,10,4,13.0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,14,1,1,1,22,27,10,8,1,0,0,1,0,1,18,0,0,6,7,6,13.5,0,0,6,9,5,14.0,0,8.9,1.4,3.51,Graduate
1,8,3,10,1,1,1,1,1,5,6,0,0,0,1,0,0,19,0,0,6,11,5,11.2,0,0,6,13,5,11.6,0,15.5,2.8,-4.06,Graduate
1,9,1,15,1,1,1,1,1,4,4,0,0,0,1,0,1,18,0,0,6,6,6,12.666666666666666,0,0,6,6,6,11.833333333333334,0,12.7,3.7,-1.7,Dropout
1,1,1,15,1,1,1,13,28,4,6,0,0,0,1,0,0,19,0,0,6,13,4,11.75,0,0,6,10,4,11.0,0,10.8,1.4,1.74,Graduate
1,14,1,5,1,1,1,1,14,6,11,0,0,0,1,0,0,20,0,0,6,6,5,12.4,0,0,6,9,5,12.4,0,12.7,3.7,-1.7,Graduate
1,1,1,10,1,1,1,22,1,10,10,1,0,0,1,0,1,20,0,0,6,8,6,14.25,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Graduate
1,1,2,5,1,1,1,13,14,4,4,1,0,0,1,0,0,22,0,0,6,7,6,11.666666666666666,0,0,6,7,5,13.2,0,12.7,3.7,-1.7,Graduate
1,1,1,11,1,1,1,23,28,6,9,1,0,0,1,0,0,18,0,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
1,1,1,16,1,1,1,22,14,8,8,1,0,0,1,0,0,18,0,0,6,9,5,11.833333333333334,0,0,6,6,4,12.0,0,15.5,2.8,-4.06,Enrolled
1,1,1,11,1,1,1,13,14,10,4,0,0,0,1,1,0,21,0,0,6,8,6,12.571428571428571,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
1,1,1,11,1,1,1,3,1,3,2,0,0,0,1,1,0,20,0,0,6,12,3,10.0,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Enrolled
1,1,1,11,1,1,1,13,1,4,8,0,0,0,1,1,0,23,0,0,6,10,6,13.0,0,0,6,9,6,12.0,0,11.1,0.6,2.02,Enrolled
1,14,1,14,1,1,1,3,2,3,3,1,0,0,1,1,0,18,0,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
1,1,1,11,1,1,1,1,14,7,7,1,0,0,1,1,0,21,0,0,6,9,6,12.0,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,Graduate
1,8,2,14,1,1,1,3,3,5,11,1,0,0,1,1,0,21,0,0,6,10,6,11.875,0,0,6,8,5,12.0,0,11.1,0.6,2.02,Graduate
1,1,1,11,1,1,1,3,3,3,3,0,0,0,1,1,0,19,0,0,6,7,6,14.428571428571429,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
1,1,3,5,1,1,1,22,27,10,10,1,0,0,1,1,1,20,0,0,6,6,6,15.5,0,0,6,7,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
1,1,1,11,1,1,1,1,1,4,4,1,0,0,1,1,0,20,0,0,6,10,6,12.333333333333334,0,0,6,9,4,13.0,0,12.4,0.5,1.79,Graduate
1,1,1,6,1,1,1,1,1,10,10,1,0,0,1,0,1,20,0,0,6,8,6,15.142857142857142,0,0,6,8,6,15.142857142857142,0,11.1,0.6,2.02,Graduate
1,1,2,10,1,1,1,23,1,5,11,1,0,0,1,0,0,18,0,0,6,7,6,12.333333333333334,0,0,6,7,6,12.166666666666666,0,9.4,-0.8,-3.12,Graduate
1,14,1,6,1,1,1,2,1,5,5,0,0,0,1,0,0,19,0,0,6,7,6,15.0,0,0,6,8,6,15.625,0,12.4,0.5,1.79,Graduate
1,8,3,15,1,1,1,1,14,6,6,1,0,0,1,0,1,18,0,0,6,6,6,12.5,0,0,6,6,6,13.833333333333334,0,16.2,0.3,-0.92,Graduate
1,8,1,15,1,1,1,23,28,8,8,1,0,0,1,0,1,18,0,0,6,6,6,15.0,0,0,6,6,6,15.5,0,8.9,1.4,3.51,Graduate
1,1,2,15,1,1,1,1,24,10,10,1,0,0,1,0,1,20,0,0,6,7,5,12.8,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
1,1,1,10,1,1,1,1,1,2,2,1,0,0,1,0,0,19,0,0,6,10,6,10.833333333333334,0,0,6,7,6,12.142857142857142,0,11.1,0.6,2.02,Graduate
1,1,1,5,1,1,1,3,3,2,3,1,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,5,14.0,0,12.7,3.7,-1.7,Graduate
1,8,1,15,1,1,1,1,14,10,10,0,0,0,1,0,1,19,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.833333333333334,0,11.1,0.6,2.02,Graduate
1,8,1,10,1,1,1,1,30,10,3,0,0,0,1,0,1,19,0,0,6,7,6,11.333333333333334,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,Graduate
1,8,3,10,1,1,1,3,1,3,6,1,0,0,1,0,0,18,0,0,6,6,6,12.0,0,0,6,6,5,13.6,0,8.9,1.4,3.51,Graduate
1,1,3,15,1,1,1,13,14,4,4,0,0,0,1,0,1,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
1,1,3,15,1,1,1,23,28,6,9,1,0,0,1,0,1,18,0,0,6,6,6,14.833333333333334,0,0,6,6,6,14.166666666666666,0,8.9,1.4,3.51,Graduate
